"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.29338,1.22221,0.550881,0.205943,0
1.36185,1.22221,0.551115,0.181438,0
1.46152,1.22221,0.551349,0.156933,0
2.13395,2.28132,0.608607,0.0913274,0
2.21425,2.28132,0.608774,0.0672878,0
2.16053,2.28132,0.580529,0.0631011,0
2.05467,2.28132,0.580329,0.0873733,0
1.8969,2.28132,0.580128,0.111645,0
2.01583,2.28132,0.60844,0.115367,0
2.27712,2.28132,0.665765,-0.0422107,0
2.27936,2.28132,0.665665,-0.0186363,0
2.27925,2.28132,0.693777,-0.0135192,0
2.27707,2.28132,0.693843,-0.036861,0
2.2747,2.28132,0.69391,-0.0602028,0
2.27484,2.28132,0.665865,-0.0657851,0
1.22213,1.22221,0.5211,0.326839,0
1.22214,1.22221,-0.355681,-0.124546,0
1.22215,1.22221,-0.35477,-0.155654,0
1.22212,1.22221,-0.384997,-0.156076,0
1.22213,1.22221,-0.385851,-0.124927,0
1.22212,1.22221,-0.265134,-0.152151,0
2.22408,2.28132,0.555322,-0.259647,0
2.21784,2.28132,0.555556,-0.284152,0
1.23353,1.22221,0.437467,0.169343,0
1.24911,1.22221,0.465879,0.172367,0
1.25897,1.22221,0.437834,0.143908,0
1.24011,1.22221,0.409455,0.140652,0
1.22537,1.22221,0.409054,0.16632,0
1.27179,1.22221,0.409856,0.114984,0
1.30452,1.22221,0.438201,0.118473,0
1.22211,1.22221,-0.265983,-0.121656,0
1.22222,1.22221,0.0363582,0.241777,0
1.22232,1.22221,0.0078125,0.239684,0
1.22232,1.22221,0.00694444,0.268608,0
1.22224,1.22221,0.0355235,0.270468,0
1.22234,1.22221,-0.0502137,0.264886,0
1.22223,1.22221,-0.0787927,0.263025,0
1.22232,1.22221,-0.0778245,0.233403,0
1.22232,1.22221,-0.0492788,0.235497,0
1.22234,1.22221,-0.107372,0.261165,0
1.22233,1.22221,-0.10637,0.23131,0
1.22229,1.22221,-0.105369,0.201456,0
1.22238,1.22221,-0.0768563,0.203782,0
1.22229,1.22221,-0.048344,0.206108,0
2.18537,2.28132,0.552517,0.0344096,0
2.23003,2.28132,0.580729,0.0388289,0
2.08881,2.28132,0.552284,0.0589144,0
1.60375,1.22221,0.299679,-0.0585603,0
1.70772,1.22221,0.327825,-0.0536758,0
1.54545,1.22221,0.327324,-0.0273103,0
